date,away_team,home_team,visitor_goals,home_goals,visitor_sog,home_sog,visitor_goalie,home_goalie,regulation,winner
11/15/2024,pit,cbj,,,,,,,,
11/15/2024,wsh,col,,,,,,,,
11/15/2024,nsh,cgy,,,,,,,,
11/15/2024,vgk,ari,,,,,,,,
11/15/2024,det,ana,,,,,,,,
11/16/2024,stl,bos,,,,,,,,
11/16/2024,nyi,sea,,,,,,,,
11/16/2024,edm,tor,,,,,,,,
11/16/2024,cbj,mtl,,,,,,,,
11/16/2024,nj,tb,,,,,,,,
11/16/2024,wpg,fla,,,,,,,,
11/16/2024,buf,phi,,,,,,,,
11/16/2024,sj,pit,,,,,,,,
11/16/2024,ott,car,,,,,,,,
11/16/2024,dal,min,,,,,,,,
11/16/2024,det,la,,,,,,,,
11/16/2024,chi,van,,,,,,,,
11/17/2024,stl,car,,,,,,,,
11/17/2024,nsh,van,,,,,,,,
11/17/2024,wsh,vgk,,,,,,,,
11/17/2024,nyr,sea,,,,,,,,
11/18/2024,cbj,bos,,,,,,,,
11/18/2024,col,phi,,,,,,,,
11/18/2024,edm,mtl,,,,,,,,
11/18/2024,ana,dal,,,,,,,,
11/18/2024,wsh,ari,,,,,,,,
11/18/2024,det,sj,,,,,,,,
11/19/2024,edm,ott,,,,,,,,
11/19/2024,tb,pit,,,,,,,,
11/19/2024,min,stl,,,,,,,,
11/19/2024,fla,wpg,,,,,,,,
11/19/2024,ana,chi,,,,,,,,
11/19/2024,nyi,cgy,,,,,,,,
11/19/2024,nyr,van,,,,,,,,
11/20/2024,vgk,tor,,,,,,,,
11/20/2024,car,phi,,,,,,,,
11/20/2024,sj,dal,,,,,,,,
11/20/2024,nsh,sea,,,,,,,,
11/20/2024,buf,la,,,,,,,,
11/21/2024,ari,bos,,,,,,,,
11/21/2024,vgk,ott,,,,,,,,
11/21/2024,nyi,det,,,,,,,,
11/21/2024,car,nj,,,,,,,,
11/21/2024,col,wsh,,,,,,,,
11/21/2024,tb,cbj,,,,,,,,
11/21/2024,sj,stl,,,,,,,,
11/21/2024,fla,chi,,,,,,,,
11/21/2024,nyr,cgy,,,,,,,,
11/21/2024,min,edm,,,,,,,,
11/22/2024,wpg,pit,,,,,,,,
11/22/2024,buf,ana,,,,,,,,
11/23/2024,chi,phi,,,,,,,,
11/23/2024,min,cgy,,,,,,,,
11/23/2024,sea,la,,,,,,,,
11/23/2024,col,fla,,,,,,,,
11/23/2024,vgk,mtl,,,,,,,,
11/23/2024,van,ott,,,,,,,,
11/23/2024,bos,det,,,,,,,,
11/23/2024,dal,tb,,,,,,,,
11/23/2024,ari,pit,,,,,,,,
11/23/2024,nj,wsh,,,,,,,,
11/23/2024,car,cbj,,,,,,,,
11/23/2024,wpg,nsh,,,,,,,,
11/23/2024,stl,nyi,,,,,,,,
11/23/2024,buf,sj,,,,,,,,
11/23/2024,nyr,edm,,,,,,,,
11/24/2024,ari,tor,,,,,,,,
11/25/2024,col,tb,,,,,,,,
11/25/2024,wsh,fla,,,,,,,,
11/25/2024,nsh,nj,,,,,,,,
11/25/2024,stl,nyr,,,,,,,,
11/25/2024,vgk,phi,,,,,,,,
11/25/2024,dal,car,,,,,,,,
11/25/2024,cgy,ott,,,,,,,,
11/25/2024,det,nyi,,,,,,,,
11/25/2024,wpg,min,,,,,,,,
11/25/2024,sea,ana,,,,,,,,
11/25/2024,la,sj,,,,,,,,
11/26/2024,van,bos,,,,,,,,
11/26/2024,ari,mtl,,,,,,,,
11/27/2024,min,buf,,,,,,,,
11/27/2024,stl,nj,,,,,,,,
11/27/2024,nyr,car,,,,,,,,
11/27/2024,cgy,det,,,,,,,,
11/27/2024,wsh,tb,,,,,,,,
11/27/2024,tor,fla,,,,,,,,
11/27/2024,bos,nyi,,,,,,,,
11/27/2024,van,pit,,,,,,,,
11/27/2024,mtl,cbj,,,,,,,,
11/27/2024,phi,nsh,,,,,,,,
11/27/2024,dal,chi,,,,,,,,
11/27/2024,vgk,col,,,,,,,,
11/27/2024,wpg,la,,,,,,,,
11/27/2024,ana,sea,,,,,,,,
11/27/2024,ott,sj,,,,,,,,
11/29/2024,nyr,phi,,,,,,,,
11/29/2024,chi,min,,,,,,,,
11/29/2024,van,buf,,,,,,,,
11/29/2024,nj,det,,,,,,,,
11/29/2024,nyi,wsh,,,,,,,,
11/29/2024,fla,car,,,,,,,,
11/29/2024,cgy,cbj,,,,,,,,
11/29/2024,tb,nsh,,,,,,,,
11/29/2024,la,ana,,,,,,,,
11/29/2024,sea,sj,,,,,,,,
11/29/2024,pit,bos,,,,,,,,
11/29/2024,col,dal,,,,,,,,
11/29/2024,wpg,vgk,,,,,,,,
11/29/2024,edm,ari,,,,,,,,
11/30/2024,mtl,nyr,,,,,,,,
11/30/2024,car,fla,,,,,,,,
11/30/2024,tor,tb,,,,,,,,
11/30/2024,wsh,nj,,,,,,,,
11/30/2024,cgy,pit,,,,,,,,
11/30/2024,phi,stl,,,,,,,,
11/30/2024,ott,la,,,,,,,,
11/30/2024,buf,nyi,,,,,,,,
11/30/2024,nsh,min,,,,,,,,
11/30/2024,edm,col,,,,,,,,
11/30/2024,ari,vgk,,,,,,,,
11/30/2024,sj,sea,,,,,,,,
12/1/2024,van,det,,,,,,,,
12/1/2024,mtl,bos,,,,,,,,
12/1/2024,cbj,chi,,,,,,,,
12/1/2024,wpg,dal,,,,,,,,
12/1/2024,ott,ana,,,,,,,,
12/2/2024,nj,nyr,,,,,,,,
12/2/2024,chi,tor,,,,,,,,
12/2/2024,dal,ari,,,,,,,,
12/3/2024,det,bos,,,,,,,,
12/3/2024,col,buf,,,,,,,,
12/3/2024,nyi,mtl,,,,,,,,
12/3/2024,fla,pit,,,,,,,,
12/3/2024,sj,wsh,,,,,,,,
12/3/2024,sea,car,,,,,,,,
12/3/2024,van,min,,,,,,,,
12/3/2024,stl,wpg,,,,,,,,
12/3/2024,cbj,cgy,,,,,,,,
12/3/2024,edm,vgk,,,,,,,,
12/4/2024,nsh,tor,,,,,,,,
12/4/2024,bos,chi,,,,,,,,
12/4/2024,vgk,ana,,,,,,,,
12/4/2024,dal,la,,,,,,,,
12/5/2024,wpg,buf,,,,,,,,
12/5/2024,nsh,mtl,,,,,,,,
12/5/2024,det,ott,,,,,,,,
12/5/2024,sj,tb,,,,,,,,
12/5/2024,fla,phi,,,,,,,,
12/5/2024,col,car,,,,,,,,
12/5/2024,sea,nyi,,,,,,,,
12/5/2024,stl,cgy,,,,,,,,
12/5/2024,cbj,edm,,,,,,,,
12/6/2024,wsh,tor,,,,,,,,
12/6/2024,sea,nj,,,,,,,,
12/6/2024,pit,nyr,,,,,,,,
12/6/2024,cbj,van,,,,,,,,
12/6/2024,dal,vgk,,,,,,,,
12/6/2024,min,ana,,,,,,,,
12/7/2024,phi,bos,,,,,,,,
12/7/2024,ari,buf,,,,,,,,
12/7/2024,wpg,chi,,,,,,,,
12/7/2024,car,nyi,,,,,,,,
12/7/2024,sj,fla,,,,,,,,
12/7/2024,wsh,mtl,,,,,,,,
12/7/2024,nsh,ott,,,,,,,,
12/7/2024,col,det,,,,,,,,
12/7/2024,tor,pit,,,,,,,,
12/7/2024,min,la,,,,,,,,
12/7/2024,stl,edm,,,,,,,,
12/8/2024,sea,nyr,,,,,,,,
12/8/2024,tb,van,,,,,,,,
12/8/2024,nyi,ott,,,,,,,,
12/8/2024,cbj,wpg,,,,,,,,
12/8/2024,col,nj,,,,,,,,
12/8/2024,ari,phi,,,,,,,,
12/8/2024,cgy,dal,,,,,,,,
12/9/2024,det,buf,,,,,,,,
12/9/2024,chi,nyr,,,,,,,,
12/9/2024,ana,mtl,,,,,,,,
12/10/2024,tor,nj,,,,,,,,
12/10/2024,col,pit,,,,,,,,
12/10/2024,sj,car,,,,,,,,
12/10/2024,phi,cbj,,,,,,,,
12/10/2024,la,nyi,,,,,,,,
12/10/2024,cgy,nsh,,,,,,,,
12/10/2024,bos,wpg,,,,,,,,
12/10/2024,tb,edm,,,,,,,,
12/10/2024,min,ari,,,,,,,,
12/10/2024,stl,van,,,,,,,,
12/10/2024,fla,sea,,,,,,,,
12/11/2024,nyr,buf,,,,,,,,
12/11/2024,ana,ott,,,,,,,,
12/12/2024,ana,tor,,,,,,,,
12/12/2024,pit,mtl,,,,,,,,
12/12/2024,la,nj,,,,,,,,
12/12/2024,det,phi,,,,,,,,
12/12/2024,wsh,cbj,,,,,,,,
12/12/2024,chi,nyi,,,,,,,,
12/12/2024,sj,stl,,,,,,,,
12/12/2024,nsh,dal,,,,,,,,
12/12/2024,edm,min,,,,,,,,
12/12/2024,vgk,wpg,,,,,,,,
12/12/2024,ari,col,,,,,,,,
12/12/2024,tb,cgy,,,,,,,,
12/12/2024,fla,van,,,,,,,,
12/12/2024,bos,sea,,,,,,,,
12/13/2024,ott,car,,,,,,,,
12/14/2024,chi,nj,,,,,,,,
12/14/2024,la,nyr,,,,,,,,
12/14/2024,phi,min,,,,,,,,
12/14/2024,vgk,edm,,,,,,,,
12/14/2024,pit,ott,,,,,,,,
12/14/2024,tor,det,,,,,,,,
12/14/2024,buf,wsh,,,,,,,,
12/14/2024,ana,cbj,,,,,,,,
12/14/2024,mtl,wpg,,,,,,,,
12/14/2024,stl,dal,,,,,,,,
12/14/2024,nsh,col,,,,,,,,
12/14/2024,fla,cgy,,,,,,,,
12/14/2024,bos,van,,,,,,,,
12/14/2024,ari,sj,,,,,,,,
12/14/2024,tb,sea,,,,,,,,
12/15/2024,nyi,chi,,,,,,,,
12/15/2024,buf,tor,,,,,,,,
12/15/2024,cbj,car,,,,,,,,
12/15/2024,nyr,stl,,,,,,,,
12/15/2024,vgk,min,,,,,,,,
12/16/2024,wsh,dal,,,,,,,,
12/16/2024,fla,edm,,,,,,,,
12/16/2024,col,van,,,,,,,,
12/17/2024,buf,mtl,,,,,,,,
12/17/2024,cbj,tb,,,,,,,,
12/17/2024,la,pit,,,,,,,,
12/17/2024,nyi,car,,,,,,,,
12/17/2024,nj,stl,,,,,,,,
12/17/2024,nyr,nsh,,,,,,,,
12/17/2024,wsh,chi,,,,,,,,
12/17/2024,bos,cgy,,,,,,,,
12/17/2024,ott,sea,,,,,,,,
12/17/2024,wpg,sj,,,,,,,,
12/18/2024,phi,det,,,,,,,,
12/18/2024,tor,dal,,,,,,,,
12/18/2024,fla,min,,,,,,,,
12/18/2024,van,ari,,,,,,,,
12/18/2024,wpg,ana,,,,,,,,
12/19/2024,stl,tb,,,,,,,,
12/19/2024,la,phi,,,,,,,,
12/19/2024,nj,cbj,,,,,,,,
12/19/2024,pit,nsh,,,,,,,,
12/19/2024,sea,chi,,,,,,,,
12/19/2024,ott,cgy,,,,,,,,
12/19/2024,bos,edm,,,,,,,,
12/19/2024,van,vgk,,,,,,,,
12/19/2024,col,sj,,,,,,,,
12/20/2024,tor,buf,,,,,,,,
12/20/2024,mtl,det,,,,,,,,
12/20/2024,stl,fla,,,,,,,,
12/20/2024,car,wsh,,,,,,,,
12/20/2024,nyr,dal,,,,,,,,
12/20/2024,ari,min,,,,,,,,
12/20/2024,col,ana,,,,,,,,
12/21/2024,la,nsh,,,,,,,,
12/21/2024,chi,cgy,,,,,,,,
12/21/2024,sj,edm,,,,,,,,
12/21/2024,buf,bos,,,,,,,,
12/21/2024,nyi,tor,,,,,,,,
12/21/2024,det,mtl,,,,,,,,
12/21/2024,pit,nj,,,,,,,,
12/21/2024,cbj,phi,,,,,,,,
12/21/2024,min,wpg,,,,,,,,
12/21/2024,ott,van,,,,,,,,
12/21/2024,sea,vgk,,,,,,,,
12/22/2024,car,nyr,,,,,,,,
12/22/2024,fla,tb,,,,,,,,
12/22/2024,la,wsh,,,,,,,,
